 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 | 1    | Sneasler           | 51.60929% | 195379 | 35.220% | 99971  | 38.967% | 
 | 2    | Gholdengo          | 36.53508% | 160287 | 28.894% | 74268  | 28.948% | 
 | 3    | Incineroar         | 32.76726% | 158862 | 28.637% | 76662  | 29.882% | 
 | 4    | Kingambit          | 32.03293% | 140600 | 25.345% | 60112  | 23.431% | 
 | 5    | Rillaboom          | 30.13785% | 158755 | 28.618% | 73067  | 28.480% | 
 | 6    | Dragonite          | 29.68054% | 96564  | 17.407% | 42244  | 16.466% | 
 | 7    | Amoonguss          | 27.63380% | 126139 | 22.738% | 52999  | 20.658% | 
 | 8    | Garchomp           | 25.32664% | 114095 | 20.567% | 59059  | 23.020% | 
 | 9    | Archaludon         | 18.21936% | 104450 | 18.829% | 56865  | 22.165% | 
 | 10   | Primarina          | 17.20624% | 113038 | 20.377% | 51357  | 20.018% | 
 | 11   | Annihilape         | 16.57075% | 87271  | 15.732% | 38690  | 15.081% | 
 | 12   | Ninetales-Alola    | 15.57891% | 71622  | 12.911% | 34515  | 13.453% | 
 | 13   | Porygon2           | 14.32774% | 57042  | 10.283% | 27069  | 10.551% | 
 | 14   | Ursaluna-Bloodmoon | 14.13323% | 63236  | 11.399% | 34954  | 13.624% | 
 | 15   | Volcarona          | 13.14234% | 55680  | 10.037% | 23011  |  8.969% | 
 | 16   | Dragapult          | 12.81389% | 80175  | 14.453% | 39441  | 15.373% | 
 | 17   | Pelipper           | 12.12366% | 81835  | 14.752% | 44815  | 17.468% | 
 | 18   | Dondozo            | 12.07479% | 33655  |  6.067% | 16095  |  6.274% | 
 | 19   | Basculegion        | 11.76985% | 51716  |  9.323% | 27105  | 10.565% | 
 | 20   | Ursaluna           | 11.22881% | 59183  | 10.669% | 32125  | 12.522% | 
 | 21   | Magmar             | 10.91223% | 47186  |  8.506% | 19745  |  7.696% | 
 | 22   | Maushold           | 10.60383% | 60962  | 10.989% | 23433  |  9.134% | 
 | 23   | Electabuzz         | 10.44237% | 42726  |  7.702% | 17152  |  6.686% | 
 | 24   | Indeedee           |  8.76816% | 37305  |  6.725% | 19614  |  7.645% | 
 | 25   | Indeedee-F         |  6.33574% | 50316  |  9.070% | 24166  |  9.419% | 
 | 26   | Whimsicott         |  6.28716% | 54305  |  9.789% | 19196  |  7.482% | 
 | 27   | Talonflame         |  6.25927% | 41470  |  7.476% | 14209  |  5.538% | 
 | 28   | Tatsugiri          |  5.79371% | 20704  |  3.732% | 11671  |  4.549% | 
 | 29   | Torkoal            |  4.96041% | 39139  |  7.055% | 23600  |  9.199% | 
 | 30   | Delphox            |  4.78893% | 15040  |  2.711% | 7657   |  2.985% | 
 | 31   | Clefable           |  4.62140% | 31033  |  5.594% | 12920  |  5.036% | 
 | 32   | Grimmsnarl         |  4.46653% | 27875  |  5.025% | 10301  |  4.015% | 
 | 33   | Tyranitar          |  4.31227% | 39027  |  7.035% | 21103  |  8.226% | 
 | 34   | Kommo-o            |  4.09627% | 20111  |  3.625% | 8347   |  3.254% | 
 | 35   | Vivillon           |  4.09195% | 14610  |  2.634% | 5346   |  2.084% | 
 | 36   | Sinistcha          |  3.60440% | 34873  |  6.286% | 17217  |  6.711% | 
 | 37   | Hydreigon          |  3.55639% | 28527  |  5.142% | 13391  |  5.220% | 
 | 38   | Hatterene          |  3.00215% | 16127  |  2.907% | 8275   |  3.225% | 
 | 39   | Corviknight        |  2.76928% | 26354  |  4.751% | 11149  |  4.346% | 
 | 40   | Typhlosion-Hisui   |  2.76399% | 28790  |  5.190% | 15293  |  5.961% | 
 | 41   | Baxcalibur         |  2.70430% | 18998  |  3.425% | 8816   |  3.436% | 
 | 42   | Glimmora           |  2.21093% | 12828  |  2.312% | 5633   |  2.196% | 
 | 43   | Palafin            |  2.18675% | 12468  |  2.248% | 5864   |  2.286% | 
 | 44   | Meowscarada        |  2.14935% | 10935  |  1.971% | 5088   |  1.983% | 
 | 45   | Lilligant-Hisui    |  2.14528% | 12039  |  2.170% | 3340   |  1.302% | 
 | 46   | Gastrodon          |  1.98197% | 15941  |  2.874% | 6081   |  2.370% | 
 | 47   | Sylveon            |  1.81453% | 8938   |  1.611% | 4269   |  1.664% | 
 | 48   | Murkrow            |  1.78691% | 21949  |  3.957% | 7704   |  3.003% | 
 | 49   | Salamence          |  1.71254% | 12445  |  2.243% | 5311   |  2.070% | 
 | 50   | Flamigo            |  1.69580% | 18421  |  3.321% | 7680   |  2.994% | 
 | 51   | Kilowattrel        |  1.67818% | 10509  |  1.894% | 3952   |  1.540% | 
 | 52   | Gallade            |  1.65066% | 21170  |  3.816% | 9413   |  3.669% | 
 | 53   | Samurott-Hisui     |  1.60858% | 6639   |  1.197% | 3373   |  1.315% | 
 | 54   | Farigiraf          |  1.45368% | 31102  |  5.607% | 11320  |  4.412% | 
 | 55   | Yanmega            |  1.42394% | 4773   |  0.860% | 1597   |  0.622% | 
